slug,name,entity_type,status,country,city,latitude,longitude,last_verified,primary_source_count,primary_source_urls,meta_description
archer-midnight-abu-dhabi,Archer Midnight (Abu Dhabi),aircraft,trial_only,UAE,Abu Dhabi,,,2026-05-01,4,https://investors.archer.com/news/news-details/2022/Archer-Unveils-its-Production-Aircraft-Midnight/default.aspx | https://www.investors.archer.com/news/news-details/2025/Archer-Unveils-Midnight-Launch-Edition-Commercialization-Program-with-Abu-Dhabi-Aviation-ADA-As-First-Customer-Planning-to-Deploy-Midnight-This-Year/default.aspx | https://investors.archer.com/news/news-details/2025/Archer-Begins-Test-Flights-in-Abu-Dhabi/default.aspx | https://investors.archer.com/news/news-details/2025/Archers-Midnight-Showcases-In-Country-eVTOL-Flight-Test-Campaign-in-UAE-as-Part-of-Its-Commercial-Launch-Edition-Program/default.aspx,"Archer Aviation Midnight in Abu Dhabi: first UAE flight 2 July 2025 at Al Bateen, full eVTOL envelope completed November 2025 with Abu Dhabi Aviation."
archer-midnight-uae-launch-edition,Archer Midnight — UAE Launch Edition Flight Test Campaign,aircraft,trial_only,UAE,Abu Dhabi,24.4283,54.4581,2026-05-20,2,https://investors.archer.com/news/news-details/2025/Archers-Midnight-Showcases-In-Country-eVTOL-Flight-Test-Campaign-in-UAE-as-Part-of-Its-Commercial-Launch-Edition-Program/default.aspx | https://www.ainonline.com/aviation-news/futureflight/2025-07-02/archer-flies-midnight-evtol-prototype-abu-dhabi,Archer Aviation's Midnight eVTOL completed in-country UAE flight test campaign culminating 14 November 2025. Full-envelope desert testing as part of the Launch Edition program with Abu Dhabi Aviation.
atlantis-the-royal-vertiport,Atlantis The Royal Vertiport,vertiport,announced,UAE,Dubai,,,2026-05-01,6,https://ir.jobyaviation.com/news-events/press-releases/detail/87/joby-to-launch-air-taxi-service-in-uae | https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://www.rta.ae/wps/portal/rta/ae/home/news-and-media/all-news/NewsDetails/successful-first-crewed-electric-aerial-taxi-flight | https://skyports.net/worlds-first-commercial-vertiport-dxv-reaches-topping-out-construction-milestone/ | https://skyports.net/skyports-infrastructure-2025-wrapped/ | https://ir.jobyaviation.com/,"Atlantis The Royal Vertiport, Palm Jumeirah node of Dubai's eVTOL network announced 17 November 2025. Joby Aviation, RTA, Skyports - status and sources."
did-not-make-the-cut,Did Not Make The Cut: 13 Entities We Cut,answer,operational,,,,,2026-05-20,1,internal,"We cut 13 candidate eVTOL entities from the Arab-world database because they failed our contracted/built/flight-tested/regulated bar. Honest disclosure of what was considered and rejected, with primary sources."
dubai-future-foundation,Dubai Future Foundation,regulator,operational,UAE,Dubai,25.2174,55.2796,2026-05-01,6,https://www.dubaifuture.gov.ae/about-dff/ | https://www.dubaifuture.ae/reach-us | https://www.dubaifuture.ae/dubai-future-foundation/hamdan-bin-mohammed-launches-dubai-programme-to-enable-drone-transportation/ | https://www.dubaifuture.ae/bvlos-drone-delivery-program | https://www.dubaifuture.ae/latest-news/dubai-future-labs-signs-with-uae-tech-company-eanan-at-dubai-airshow-to-boost-drone-rd/ | https://www.dubaifuture.ae/dubai-future-accelerators/dubai-future-accelerators-autonomous-vehicles-and-augmented-reality-future-dubais-transportation/,"Dubai Future Foundation: Dubai Government's foresight authority. Convening role on eVTOL via Dubai Self-Driving Strategy, drone programme, accelerator cohorts."
dubai-mall-vertiport,Dubai Mall Vertiport,vertiport,planned,UAE,Dubai,25.1972,55.2796,2026-05-01,5,https://ir.jobyaviation.com/news-events/press-releases/detail/87/joby-to-launch-air-taxi-service-in-uae | https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://skyports.net/worlds-first-commercial-vertiport-dxv-reaches-topping-out-construction-milestone/ | https://skyports.net/worlds-first-commercial-vertiport-technical-completion/ | https://www.rta.ae/wps/portal/rta/ae/home/news-and-media/all-news/NewsDetails/successful-first-crewed-electric-aerial-taxi-flight,"Dubai Mall Vertiport, announced 17 November 2025 by Joby and the RTA, with Emaar Properties as the property partner. Construction set to begin in 2026."
dubai-marina-vertiport,Dubai Marina Vertiport,vertiport,under_construction,UAE,Dubai,25.081,55.1403,2026-05-20,4,https://skyports.net/worlds-first-commercial-vertiport-technical-completion/ | https://ir.jobyaviation.com/news-events/press-releases/detail/87/joby-to-launch-air-taxi-service-in-uae | https://skyports.net/skyports-rta-and-joby-to-launch-air-taxi-service-in-dubai/ | https://www.thenationalnews.com/business/aviation/2025/11/03/uae-air-taxi-certification-to-be-completed-by-third-quarter-of-next-year-regulator-says/,"Dubai Marina Vertiport is the second node of Dubai's eVTOL network. Confirmed under construction by Skyports Infrastructure as of 16 April 2026, under Joby Aviation's exclusive RTA agreement."
dxb-to-dubai-mall,DXB ↔ Dubai Mall,route,planned,UAE,Dubai,25.2336,55.2926,2026-05-01,4,https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://www.jobyaviation.com/news/joby-cements-global-lead-in-air-taxi-industry-with-dubai-flights-and-beginning-of-commercial-market-readiness-work | https://www.jobyaviation.com/news/joby-rta-dubai-agreement | https://www.rta.ae/wps/portal/rta/ae/home/news-and-media/all-news/NewsDetails/successful-first-crewed-electric-aerial-taxi-flight,"Joby Aviation route between DXB and Dubai Mall vertiports, planned for 2026 commercial launch under exclusive RTA agreement. Primary sources verified."
dxb-to-atlantis-the-royal,DXB ↔ Atlantis The Royal,route,planned,UAE,Dubai,25.2076,55.3055,2026-05-01,3,https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://www.jobyaviation.com/news/joby-rta-dubai-agreement | https://ertico.com/rta-and-joby-aviation-complete-first-crewed-electric-aerial-taxi-flight,"Joby Aviation route between DXB and Atlantis The Royal vertiport, Palm Jumeirah: ~10-minute flight planned for 2026 launch under RTA exclusive agreement."
dxb-vertiport,DXB Vertiport,vertiport,certified,UAE,Dubai,25.2532,55.3657,2026-08-03,7,https://skyports.net/post/uae-makes-global-aviation-history-with-certification-worlds-first-purpose-built-commercial-vertiport-skyports-infrastructure | https://skyports.net/worlds-first-commercial-vertiport-technical-completion/ | https://skyports.net/skyports-rta-and-joby-to-launch-air-taxi-service-in-dubai/ | https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://ir.jobyaviation.com/news-events/press-releases/detail/87/joby-to-launch-air-taxi-service-in-uae | https://www.rta.ae/wps/portal/rta/ae/home/news-and-media/all-news/NewsDetails/successful-first-crewed-electric-aerial-taxi-flight | https://www.thenationalnews.com/business/aviation/2025/11/03/uae-air-taxi-certification-to-be-completed-by-third-quarter-of-next-year-regulator-says/,"DXB Vertiport (registered VDX) received UAE GCAA certification on 7 July 2026 — the world's first purpose-built commercial vertiport, developed by Skyports Infrastructure at Dubai International Airport. Certified for eVTOL operations; Joby Aviation passenger service pending launch."
ehang-eh216-s-mecca,EHang EH216-S Mecca Hajj Flight,aircraft,trial_only,Saudi Arabia,Mecca,21.4225,39.8262,2026-05-20,1,https://www.ehang.com/news/1089.html,The EHang EH216-S pilotless eVTOL completed its debut flight in Saudi Arabia on 12 June 2024 during the Hajj season in Mecca. First autonomous eVTOL passenger trial in the Kingdom.
ehang-eh216-s-uae,EHang EH216-S (UAE),aircraft,trial_only,UAE,Abu Dhabi,,,2026-05-01,3,https://www.ehang.com/news/1082.html | https://ir.ehang.com/news-releases/news-release-details/eh216-s-completes-uaes-first-passenger-carrying-demo-flight/ | https://cnevpost.com/2024/05/07/ehang-completes-passenger-carrying-demo-flight-in-uae/,EHang EH216-S in the UAE: completed the Middle East's first passenger-carrying pilotless eVTOL demo flight in Abu Dhabi on 6 May 2024. Specs and milestones.
gaca-saudi-arabia,"General Authority of Civil Aviation (GACA), Saudi Arabia",regulator,operational,Saudi Arabia,Riyadh,24.7136,46.6753,2026-05-20,3,https://gaca.gov.sa/ | https://investors.archer.com/news/news-details/2025/Saudi-Arabias-General-Authority-of-Civil-Aviation-Advances-Archers-Pathway-for-Electric-Air-Taxi-Deployment/default.aspx | https://investors.archer.com/news/news-details/2025/PIFs-The-Helicopter-Company-Archer-Aviation-and-Red-Sea-Global-Partner-to-Launch-eVTOL-Air-Mobility-in-Saudi-Arabia/default.aspx,"GACA published the Advanced Air Mobility Roadmap in January 2024. Issued Special Flight Authorization for Volocopter NEOM flight 21 June 2023. Signed MoUs with Lilium, Joby, Archer."
gcaa-uae,General Civil Aviation Authority — UAE,regulator,operational,UAE,Abu Dhabi,24.4539,54.3773,2026-05-01,3,https://investors.archer.com/news/news-details/2024/Abu-Dhabi-and-Archer-Announce-Agreement-With-Cross-Industry-Stakeholders-To-Launch-First-Commercial-Electric-Air-Taxi-Flights/default.aspx | https://investors.archer.com/news/news-details/2025/Cleveland-Clinic-Abu-Dhabi-Unveils-Plans-for-UAEs-First-Hospital-Based-Vertiport-in-Partnership-With-Archer-Aviation/default.aspx | https://www.gcaa.gov.ae,"GCAA UAE is the federal civil aviation regulator overseeing eVTOL type certification, vertiport regulations and Air Operator Certificates in the UAE."
gulf-evtol-comparison-uae-vs-qatar,Gulf eVTOL — UAE vs Qatar compared,answer,trial_only,,,25.0746,53.4108,2026-05-01,4,https://investors.archer.com/news/news-details/2024/Archer-and-Falcon-Aviation-to-Jointly-Develop-Vertiport-Network-in-Dubai-and-Abu-Dhabi-for-the-Launch-of-Flying-Car-Operations-in-UAE-as-Soon-as-2025/ | https://ir.ehang.com/news-releases/news-release-details/ehang-eh216-s-conducts-first-urban-human-carrying-pilotless/ | https://www.ehang.com/news/1082.html | https://mot.gov.qa/en/news/prime-minister-launches-ministry-transport-strategy-2025-2030,"Compares the UAE eVTOL programme (Joby S4 piloted, Dubai 2026 launch) and the Qatar eVTOL programme (EHang EH216-S pilotless, Doha trial Nov 2025)."
joby-s4-hybrid-electric,Joby S4 Hybrid-Electric Demonstrator,aircraft,trial_only,UAE,,,,2026-05-01,1,https://www.jobyaviation.com/news/joby-celebrates-first-flight-of-turbine-electric-demonstrator-aircraft,"Joby S4-T hybrid-electric demonstrator: first flight 7 November 2025, Marina California. Defense-focused; no UAE deployment announced. Sources verified."
joby-s4-uae,Joby S4 (UAE Operations),aircraft,trial_only,UAE,Dubai,,,2026-05-01,8,https://ir.jobyaviation.com/news-events/press-releases/detail/87/joby-to-launch-air-taxi-service-in-uae | https://ir.jobyaviation.com/news-events/press-releases/detail/106/joby-applies-to-become-first-certified-electric-air-taxi | https://ir.jobyaviation.com/news-events/press-releases/detail/132/joby-cements-global-lead-in-air-taxi-industry-with-dubai | https://ir.jobyaviation.com/news-events/press-releases/detail/155/joby-adds-to-the-history-of-propeller-blade-manufacturing | https://ir.jobyaviation.com/news-events/press-releases/detail/156/joby-begins-power-on-testing-of-first-conforming-aircraft | https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://ir.jobyaviation.com/news-events/press-releases/detail/164/joby-caps-year-of-flight-demonstrating-global-commercial | https://ir.jobyaviation.com/news-events/press-releases/detail/38/joby-confirms-revolutionary-low-noise-footprint-following,"Joby S4 in UAE service: all-electric eVTOL flown in Dubai since June 2025, first UAE point-to-point flight on 9 November 2025. Specs, milestones, sources."
joby-vs-archer-uae-exclusivity-explained,Joby vs Archer UAE exclusivity — explained,answer,trial_only,UAE,,24.9342,54.8418,2026-05-01,1,https://investors.archer.com/news/news-details/2024/Archer-and-Falcon-Aviation-to-Jointly-Develop-Vertiport-Network-in-Dubai-and-Abu-Dhabi-for-the-Launch-of-Flying-Car-Operations-in-UAE-as-Soon-as-2025/,Joby holds a 6-year exclusive air-taxi agreement with RTA Dubai (Feb 2024). Archer operates from Abu Dhabi via ADIO and Falcon Aviation. How both coexist.
lilium-jet-saudia,Lilium Jet — Saudia Group Sales Agreement,aircraft,orphaned,Saudi Arabia,Jeddah,21.4858,39.1925,2026-05-20,3,https://lilium.com/newsroom-detail/saudia-group-signs-industry-leading-sales-agreement-with-lilium-to-acquire-up-to-100-evtol-jets | https://www.thenationalnews.com/future/technology/2025/02/22/german-air-taxi-developer-lilium-files-for-insolvency-again-after-funding-options-fail/ | https://www.flightglobal.com/aerospace/2026/04/lilium-jets-journey-ends-on-scrapheap-as-prototypes-fail-to-sell/,Saudia and Lilium signed a binding sales agreement on 18 July 2024 for up to 100 Lilium Jets. Lilium filed final insolvency 21 February 2025; prototypes scrapped April 2026. Contract orphaned.
margham-flight-test-facility,Margham Flight Test Facility,vertiport,operational,UAE,Dubai,,,2026-05-01,4,https://ir.jobyaviation.com/news-events/press-releases/detail/132/joby-cements-global-lead-in-air-taxi-industry-with-dubai | https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://ir.jobyaviation.com/news-events/press-releases/detail/164/joby-caps-year-of-flight-demonstrating-global-commercial | https://spectrum.ieee.org/joby-air-taxi,"Joby Aviation's UAE eVTOL flight test site at Margham, Dubai. Site of the first piloted point-to-point eVTOL flight in the UAE on 9 November 2025."
margham-to-al-maktoum,Margham → Al Maktoum International (DWC),route,trial_only,UAE,Dubai,24.9315,55.3475,2026-05-01,3,https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://www.jobyaviation.com/news/joby-rta-dubai-agreement | https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes,Joby flew the UAE's first piloted point-to-point eVTOL route on 9 November 2025: 17 minutes from Margham flight test facility to DWC. Sources verified.
margham-to-dwc,Margham → Al Maktoum International (DWC),route,trial_only,UAE,Dubai,25.2026,55.4022,2026-05-20,2,https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://www.rta.ae/wps/portal/rta/ae/home/news-and-media/all-news/NewsDetails/successful-first-crewed-electric-aerial-taxi-flight,"The Joby S4 completed the first electric-air-taxi point-to-point flight in the UAE on 9 November 2025, flying piloted from Margham to Al Maktoum International (DWC) in 17 minutes."
palm-jumeirah-vertiport,Palm Jumeirah Vertiport at Atlantis the Royal,vertiport,planned,UAE,Dubai,25.1304,55.1166,2026-05-20,4,https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://ir.jobyaviation.com/news-events/press-releases/detail/87/joby-to-launch-air-taxi-service-in-uae | https://skyports.net/worlds-first-commercial-vertiport-technical-completion/ | https://skyports.net/skyports-rta-and-joby-to-launch-air-taxi-service-in-dubai/,"Palm Jumeirah Vertiport at Atlantis the Royal, named by Joby and the RTA on 17 November 2025. Construction set to begin in months following Skyports' 16 April 2026 update."
rta-dubai,Roads and Transport Authority — Dubai,operator,operational,UAE,Dubai,25.2532,55.3657,2026-05-01,8,https://ir.jobyaviation.com/news-events/press-releases/detail/87/joby-to-launch-air-taxi-service-in-uae | https://skyports.net/skyports-rta-and-joby-to-launch-air-taxi-service-in-dubai/ | https://skyports.net/skyports-infrastructures-design-for-vertiports-approved-in-dubai/ | https://skyports.net/skyports-and-rta-break-ground-on-first-vertiport-in-dubai/ | https://www.jobyaviation.com/news/joby-cements-global-lead-in-air-taxi-industry/ | https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://skyports.net/worlds-first-commercial-vertiport-technical-completion/ | https://www.volocopter.com/en/newsroom/volocopter-as-an-autonomous-air-taxi-in-dubai,RTA Dubai oversees the Emirate's eVTOL air-taxi network. Holds 6-year exclusive agreement with Joby (Feb 2024) and Skyports vertiport contract.
skyports-infrastructure,Skyports Infrastructure,operator,operational,UAE,Dubai,25.2532,55.3657,2026-05-01,7,https://skyports.net/skyports-infrastructures-design-for-vertiports-approved-in-dubai/ | https://skyports.net/skyports-rta-and-joby-to-launch-air-taxi-service-in-dubai/ | https://skyports.net/skyports-raises-in-excess-of-110m-in-series-c-round-led-by-new-investment-from-acs/ | https://skyports.net/skyports-and-rta-break-ground-on-first-vertiport-in-dubai/ | https://skyports.net/worlds-first-commercial-vertiport-dxv-reaches-topping-out-construction-milestone/ | https://skyports.net/worlds-first-commercial-vertiport-technical-completion/ | https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes,"Skyports Infrastructure: London-based vertiport developer, exclusive builder of Dubai's Joby/RTA vertiport network. VDX technically complete April 2026."
the-helicopter-company,The Helicopter Company (THC),operator,operational,Saudi Arabia,Riyadh,24.7136,46.6753,2026-05-20,2,https://investors.archer.com/news/news-details/2025/PIFs-The-Helicopter-Company-Archer-Aviation-and-Red-Sea-Global-Partner-to-Launch-eVTOL-Air-Mobility-in-Saudi-Arabia/default.aspx | https://investors.archer.com/news/news-details/2025/Saudi-Arabias-General-Authority-of-Civil-Aviation-Advances-Archers-Pathway-for-Electric-Air-Taxi-Deployment/default.aspx,The Helicopter Company (THC) is a Saudi Public Investment Fund subsidiary. Signed MoUs with Archer Aviation and Joby Aviation in November 2025 for Saudi eVTOL sandbox testing. CEO Captain Arnaud Martinez.
volocopter-neom-historical,Volocopter NEOM Flight & $175M Investment,aircraft,orphaned,Saudi Arabia,NEOM,27.9881,35.1064,2026-05-20,3,https://www.thenationalnews.com/business/technology/2022/11/03/saudi-arabias-neom-invests-175m-in-volocopter/ | https://www.volocopter.com/en/newsroom/volocopter-flies-in-neom | https://www.volocopter.com/en/newsroom/volocopter-files-for-insolvency-in-germany,NEOM invested $175M in Volocopter (Nov 2022) with 15-aircraft order and GACA-authorized flight 21 June 2023. Volocopter filed insolvency 26 Dec 2024; acquired by Wanfeng/Diamond Aircraft March 2025 for €10M.
volocopter-volocity-uae,Volocopter VoloCity (UAE History),aircraft,decommissioned,UAE,Dubai,,,2026-05-01,4,https://www.volocopter.com/en/newsroom/first-ever-public-demonstration-of-an-autonomous-urban-air-taxi | https://www.flightglobal.com/aerospace/volocopter-enters-insolvency-following-cash-shortfall/161247.article | https://www.agbi.com/giga-projects/2024/12/neom-air-taxi-partner-volocopter-files-for-insolvency/ | https://www.aerotime.aero/articles/volocopter-lays-off-its-entire-workforce-as-insolvency-proceedings-go-ahead,Volocopter VoloCity UAE history: world-first autonomous air taxi flight in Dubai 25 September 2017. Programme ended after Volocopter insolvency December 2024.
